disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
fungal infection,itching, skin_rash, dischromic _patches,
fungal infection,itching, skin_rash, nodal_skin_eruptions,
fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
fungal infection,itching, skin_rash, dischromic _patches,
fungal infection,itching, skin_rash, nodal_skin_eruptions,
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
allergy, continuous_sneezing, shivering, chills, watering_from_eyes
allergy, shivering, chills, watering_from_eyes,
allergy, continuous_sneezing, chills, watering_from_eyes,
allergy, continuous_sneezing, shivering, watering_from_eyes,
allergy, continuous_sneezing, shivering, chills,
allergy, shivering, chills, watering_from_eyes,
allergy, continuous_sneezing, chills, watering_from_eyes,
allergy, continuous_sneezing, shivering, watering_from_eyes,
allergy, continuous_sneezing, shivering, chills,
allergy, continuous_sneezing, shivering, chills, watering_from_eyes
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
gerd, stomach_pain, ulcers_on_tongue, vomiting, cough
gerd, stomach_pain, acidity, vomiting, cough
gerd, stomach_pain, acidity, ulcers_on_tongue, cough
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
gerd, acidity, ulcers_on_tongue, vomiting, cough
gerd, stomach_pain, ulcers_on_tongue, vomiting, cough
gerd, stomach_pain, acidity, vomiting, cough
gerd, stomach_pain, acidity, ulcers_on_tongue, cough
chronic cholestasis,itching, vomiting, yellowish_skin, nausea
chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
chronic cholestasis,itching, vomiting, yellowish_skin, nausea
chronic cholestasis,itching, vomiting, yellowish_skin, nausea
chronic cholestasis,itching, vomiting, yellowish_skin, nausea
chronic cholestasis,itching, vomiting, yellowish_skin, nausea
chronic cholestasis,itching, vomiting, yellowish_skin, nausea
drug reaction,itching, skin_rash, stomach_pain, burning_micturition
drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination
drug reaction,itching, skin_rash, burning_micturition, spotting_ urination
drug reaction,itching, skin_rash, stomach_pain, spotting_ urination
